symbol,r,g,b,hex,dmc_code,dmc_name,dmc_type,stitches
●,0,0,0,#000000,,,,10979
○,1,0,0,#010000,,,,442
■,164,70,38,#A44626,,,,359
□,254,233,192,#FEE9C0,,,,311
▲,82,34,26,#52221A,,,,278
△,115,50,32,#733220,,,,240
◆,161,70,38,#A14626,,,,232
◇,1,1,0,#010100,,,,220
/,75,59,57,#4B3B39,,,,212
\,201,66,31,#C9421F,,,,211
x,163,70,38,#A34626,,,,197
+,96,108,102,#606C66,,,,187
-,170,73,39,#AA4927,,,,184
=,216,148,104,#D89468,,,,183
*,29,15,10,#1D0F0A,,,,181
#,144,63,35,#903F23,,,,162
◼,169,72,38,#A94826,,,,162
◻,67,46,42,#432E2A,,,,161
◊,16,6,4,#100604,,,,159
◯,74,58,56,#4A3A38,,,,159
¤,61,32,25,#3D2019,,,,150
▣,255,242,201,#FFF2C9,,,,149
▢,5,2,1,#050201,,,,144
A,49,22,16,#311610,,,,132
B,77,33,25,#4D2119,,,,129
C,74,53,50,#4A3532,,,,111
D,93,43,30,#5D2B1E,,,,107
E,139,52,38,#8B3426,,,,105
F,230,208,171,#E6D0AB,,,,102
G,156,67,36,#9C4324,,,,92
H,2,2,1,#020201,,,,89
I,74,57,54,#4A3936,,,,86
J,117,81,63,#75513F,,,,78
K,188,90,50,#BC5A32,,,,63
L,4,0,0,#040000,,,,63
M,0,0,1,#000001,,,,40
N,88,63,55,#583F37,,,,40
O,73,57,56,#493938,,,,35
Q,173,69,36,#AD4524,,,,20
R,1,0,1,#010001,,,,6
