```csv
number,name,r,g,b,type
B5200,Snow White,255,255,255,regular
White,White,252,251,248,regular
Ecru,Ecru,240,234,218,regular
208,Lavender Very Dark,148,91,128,regular
209,Lavender Dark,186,150,202,regular
210,Lavender Medium,236,207,247,regular
211,Lavender Light,244,223,247,regular
221,Shell Pink Very Dark,164,24,60,regular
223,Shell Pink Light,204,132,142,regular
224,Shell Pink Very Light,235,183,175,regular
225,Shell Pink Ultra Very Light,255,223,213,regular
300,Brown Very Dark,111,47,0,regular
301,Orange Red,179,76,40,regular
304,Red Medium,183,31,51,regular
307,Lemon,253,237,116,regular
309,Rose Deep,135,41,52,regular
310,Black,0,0,0,regular
311,Wedgewood Dark,28,80,102,regular
312,Wedgewood Medium,53,102,139,regular
315,Antique Mauve Medium Very Dark,129,73,82,regular
316,Antique Mauve Medium,183,115,127,regular
317,Pewter Gray,129,129,129,regular
318,Steel Gray Light,153,159,165,regular
319,Pistachio Green Very Dark,32,95,46,regular
320,Pistachio Green Medium,138,168,155,regular
321,Christmas Red,199,43,59,regular
322,Baby Blue Dark,85,140,219,regular
326,Rose Very Dark,179,39,41,regular
327,Violet Dark,99,54,102,regular
333,Blue Violet Very Dark,92,84,140,regular
334,Baby Blue Medium,115,159,214,regular
335,Rose,238,84,110,regular
336,Navy Blue,37,59,115,regular
340,Blue Violet Medium,173,167,199,regular
341,Blue Violet Light,183,191,221,regular
347,Vermillion,222,57,37,regular
349,Cornell Red,210,44,38,regular
350,Burnt Orange Light,247,107,57,regular
351,Coral,254,127,89,regular
352,Coral Light,254,142,112,regular
353,Peach Light,254,215,204,regular
355,Terra Cotta Dark,162,74,46,regular
356,Terra Cotta Medium,197,106,91,regular
367,Pistachio Green Dark,105,136,90,regular
368,Pistachio Green Light,166,194,152,regular
369,Pistachio Green Very Light,216,237,204,regular
370,Mustard Medium,184,157,100,regular
371,Mustard,201,179,123,regular
372,Mustard Light,204,183,132,regular
400,Terra Cotta Very Dark,143,67,15,regular
402,Terracotta Medium,241,144,103,regular
407,Desert Sand Dark,203,134,103,regular
413,Pewter Gray Dark,86,86,86,regular
414,Steel Gray,140,144,145,regular
415,Pearl Gray,211,211,214,regular
420,Hazelnut Brown Dark,170,99,47,regular
422,Hazelnut Brown Light,198,151,89,regular
433,Brown Medium,122,69,31,regular
434,Brown Light,165,104,53,regular
435,Brown Very Light,184,119,72,regular
436,Tan,203,144,81,regular
437,Tan Light,228,187,142,regular
444,Lemon Dark,255,170,0,regular
445,Lemon Light,255,251,139,regular
451,Shell Gray Dark,145,123,115,regular
452,Shell Gray Medium,192,179,174,regular
453,Shell Gray Light,215,206,203,regular
469,Avocado Green,114,132,60,regular
470,Avocado Green Light,170,191,99,regular
471,Avocado Green Very Light,174,191,81,regular
472,Avocado Green Ultra Light,226,235,126,regular
498,Red Dark,167,19,43,regular
500,Blue Green Very Dark,4,42,39,regular
501,Blue Green Dark,57,111,82,regular
502,Blue Green,91,125,103,regular
503,Blue Green Medium,123,172,148,regular
504,Blue Green Very Light,196,222,204,regular
517,Wedgewood Light,59,118,168,regular
518,Wedgewood Light,102,165,194,regular
519,Blue Sky Light,180,206,219,regular
520,Fern Green Dark,102,109,79,regular
522,Fern Green,171,177,151,regular
523,Fern Green Light,203,206,186,regular
524,Fern Green Very Light,220,223,210,regular
535,Ash Gray Very Light,99,100,99,regular
543,Beige Brown Ultra Very Light,247,236,224,regular
550,Violet Very Dark,92,24,78,regular
551,Violet,158,91,140,regular
552,Violet Medium,178,113,164,regular
553,Violet Light,217,156,215,regular
554,Violet Very Light,243,214,243,regular
561,Jade Very Dark,44,106,71,regular
562,Jade Medium,83,151,106,regular
563,Jade Light,160,202,155,regular
564,Jade Very Light,205,230,210,regular
580,Moss Green Dark,136,141,51,regular
581,Moss Green,167,174,56,regular
597,Turquoise Light,91,164,207,regular
598,Turquoise Light,138,197,214,regular
600,Cranberry Very Dark,205,47,99,regular
601,Cranberry Dark,209,68,124,regular
602,Cranberry Medium,227,109,137,regular
603,Cranberry,244,154,180,regular
604,Cranberry Light,255,192,205,regular
605,Cranberry Very Light,255,227,235,regular
606,Burnt Orange Red,250,50,3,regular
608,Bright Orange,255,91,0,regular
610,Drab Brown Dark,121,96,71,regular
611,Drab Brown,150,118,86,regular
612,Drab Brown Light,188,154,120,regular
613,Drab Brown Very Light,220,196,180,regular
632,Desert Sand Ultra Very Dark,135,85,57,regular
640,Beige Gray Dark,133,123,97,regular
642,Beige Gray Medium,172,154,116,regular
644,Beige Gray Medium Light,224,213,183,regular
645,Beaver Gray Very Dark,99,96,88,regular
646,Beaver Gray Dark,135,125,115,regular
647,Beaver Gray Medium,176,166,156,regular
648,Beaver Gray Light,206,196,186,regular
